ID,Predict
490,24
491,83
492,63
493,-1
494,-1
495,-1
496,37
497,37
498,-1
499,38
500,-1
501,-1
502,-1
503,60
504,-1
505,-1
506,-1
507,-1
508,-1
509,37
510,-1
511,29
512,69
513,52 65
514,6 25 71
515,12
516,-1
517,-1
518,-1
519,-1
520,-1
521,-1
522,-1
523,-1
524,86
525,15 35
526,-1
527,-1
528,-1
529,45
530,45
531,-1
532,77
533,-1
534,94
535,-1
536,78
537,90
538,12 20
539,74
540,-1
541,-1
542,-1
543,-1
544,36
545,-1
546,88
547,29 85 94
548,0 31 34
549,24
550,33
551,-1
552,89
553,-1
554,-1
555,69
556,69
557,-1
558,-1
559,0 34
560,-1
561,6 71
562,-1
563,30
564,-1
565,86
566,-1
567,-1
568,6 71
569,-1
570,-1
571,-1
572,-1
573,92
574,38
575,-1
576,-1
577,13
578,69
579,-1
580,-1
581,-1
582,-1
583,-1
584,6 71
585,78
586,-1
587,9 30 82
588,-1
589,-1
590,10 58
591,-1
592,-1
593,37
594,-1
595,16
596,-1
597,3
598,-1
599,26
600,-1
601,-1
602,69
603,-1
604,-1
605,30
606,10
607,-1
608,6
609,12 28 82
610,60
611,47 96
612,-1
613,-1
614,31
615,-1
616,6 71
617,13
618,-1
619,64
620,30
621,42
622,67
623,60
624,-1
625,58
626,-1
627,-1
628,49
629,-1
630,92
631,66
632,-1
633,-1
634,-1
635,60
636,0 34
637,-1
638,-1
639,-1
640,-1
641,13
642,45
643,-1
644,13
645,61
646,-1
647,36
648,-1
649,0 34
650,80
651,6 71
652,-1
653,-1
654,-1
655,-1
656,-1
657,-1
658,6 51 71
659,-1
660,-1
661,14
662,-1
663,-1
664,-1
665,54
666,18 36 49 51 62 74 81 83
667,-1
668,-1
669,-1
670,-1
671,84
672,33
673,-1
674,80
675,-1
676,-1
677,95
678,-1
679,94
680,10
681,-1
682,-1
683,-1
684,-1
685,10
686,30 58
687,-1
688,97
689,-1
690,-1
691,90
692,-1
693,-1
694,-1
695,-1
696,-1
697,-1
698,-1
699,84
700,-1
701,-1
702,-1
703,-1
704,-1
705,-1
706,-1
707,-1
708,6 71
709,-1
710,6 50 71
711,-1
712,-1
713,-1
714,-1
715,-1
716,47 96
717,-1
718,-1
719,-1
720,78
721,-1
722,37
723,-1
724,-1
725,-1
726,10
727,-1
728,-1
729,0 34
730,-1
731,-1
732,-1
733,-1
734,-1
735,26 81
736,-1
737,-1
738,38
739,13
740,-1
741,31
742,78
743,96
744,-1
745,-1
746,-1
747,-1
748,6 42 71
749,37
750,29
751,-1
752,-1
753,75
754,5
755,39
756,-1
757,-1
758,37
759,-1
760,-1
761,47
762,-1
763,-1
764,-1
765,-1
766,-1
767,-1
768,-1
769,-1
770,-1
771,-1
772,0 34
773,-1
774,-1
775,-1
776,-1
777,-1
778,-1
779,0
780,-1
781,-1
782,94
783,35
784,-1
785,-1
786,31
787,-1
788,-1
789,20
790,41
791,-1
792,-1
793,-1
794,-1
795,54
796,97
797,13
798,-1
799,-1
